SMILES,96-Plate,96-Well,16h Raw R1,16h Raw R2
CC1CC(=O)C2=C(C1)C=CC1=C2C(=O)C2=CC=CC(O)=C2C1=O,10-1,H07,0.896,0.905
O=C(NC1=CC=C(Cl)C(S(=O)(=O)N2CCNCC2)=C1O)NC1=CC=CC(F)=C1Cl,10-1,H08,1.228,1.247
O[C@@H]1[C@@H](CO)O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](OC[C@H]3O[C@@H]4O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@H]7[C@H](O)[C@@H](O)C(O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@@H]%10[C@@H](CO)O[C@H](O[C@H]3[C@H](O)[C@H]4O)[C@H](O)[C@H]%10O)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)O[C@@H]2CO)[C@H](O)[C@H]1O,10-1,H09,1.189,1.228
C/C(NC1=CC=CC(O)=C1)=C/C(C1=CC=C(Cl)C=C1)=O,10-1,H10,1.304,1.336
O=C([C@@H]1N[C@H](CC(C)(C)C)[C@@]2([C@H]1C1=CC=CC(Cl)=C1F)C(=O)NC1=C2C=CC(Cl)=C1)N[C@H]1CC[C@H](O)CC1,10-1,H11,0.678,0.997
OC[C@@H]1[C@@H](O)C[C@H](N2C=NC3=C2NC(N)=NC3=S)O1,10-2,A02,1.182,1.173
CC(C)(C1=CC(NC(NC2=CC=C(C3=CC=CC4=C3C=CN=C4N)C=C2)=O)=NO1)C,10-2,A03,0.045,0.044
N=C(N)NC1=CC=C(CNC(=O)N2CCN(C(=O)O[C@@H]3COC4C3OC[C@H]4OC(=O)N3CCN(C(=O)NCC4=CC=C(NC(=N)N)C=C4)CC3)CC2)C=C1,10-2,A04,1.204,1.177
O=C(O)[C@H](CC1=CN=CN1CC1=CC(Cl)=CC(Cl)=C1)N[C@@H](C(O)=O)CC(C)C,10-2,A05,1.222,1.201
O=C(N1N=C(C2=CC=C(N)C=C2)C2=C(C=C3C(=C2)OCO3)C1C)NCCC,10-2,A06,1.29,1.256
O=C(NC1=CC=C(C)C=C1)NC1=CC([C@H]2C[C@H]2C(O)=O)=CC=C1N(CC(C)C)CC(C)C,10-2,A07,0.045,0.046
O=C(CCN1CCCCC1)NC1=CC=C2NC(=O)/C(=C\C3=CNC4=C3C=C(OC)C=C4)C2=C1,10-2,A08,1.153,1.112
N#CC1=CC=C(C2=C(C3=CN(C)N=C3)N=CN2CCC2=CN(C)N=C2)C=C1,10-2,A09,1.225,1.215
O=C(C=C)NC1=CC(CNC2=NC(NC3=C(OC)C=C(N4CCN(C)CC4)C=C3)=NC=C2Cl)=CC=C1,10-2,A10,1.264,1.257
COCCNCC1=CN=C(C2=CC3=NC=CC(OC4=CC=C(NC(=S)NC(=O)CC5=CC=C(F)C=C5)C=C4F)=C3S2)C=C1,10-2,A11,1.252,1.25
O=C(C1=CC=CC(Cl)=C1)N1C(COC2=CC=C(OC)C=C2)C2=C(C=C(OC)C(OC)=C2)CC1,10-2,B02,1.226,1.206
O=C(O)C1=CC=CC=C1NC(/C=C/C2=CC(OC)=C(OC)C=C2)=O.[(E)],10-2,B03,1.2,1.193
CC1=NC=C([N+]([O-])=O)N1C[C@H](O)CCl,10-2,B04,1.195,1.193
CC1=NC=C([N+]([O-])=O)N1C[C@H](OP(O)(O)=O)CN1CCOCC1,10-2,B05,1.201,1.177
O=C1OC[C@H](C(C)C)N1C1=NC(N[C@H](C2=CC=C(CN3CCC(F)(F)CC3)C=C2)C)=NC=C1,10-2,B06,1.307,1.28
OC1=CC=C(/C(C2=CC=C(OCCNC)C=C2)=C(C3=CC=CC=C3)\CC)C=C1.[H]Cl.[Z],10-2,B07,0.046,0.046
OC1=CC=C(/C(C2=CC=C(OCCNC)C=C2)=C(C3=CC=CC=C3)/CC)C=C1.[H]Cl.[E],10-2,B08,0.046,0.045
OC1=CC=C(/C(C2=CC=C(OCCNC)C=C2)=C(\C2=CC=CC=C2)CC)C=C1,10-2,B09,0.048,0.046
O=C(N)C1=CC=CC(CC2=NC(C3=NC(C)=CC=C3)=C(C3=CC=C4N=CC=NC4=C3)N2)=C1,10-2,B10,1.244,1.218
O=C(NC1=CC=CC=C1N)CCCCCCC(NC1=CC=C(C)C=C1)=O,10-2,B11,1.259,1.24
O[C@H]1CC[C@]([H])([C@@H](O)C[C@@H]2N3C(=CN=C3)C3=C2C(F)=CC=C3)CC1,10-2,C02,1.194,1.184
N#CCC1=CC=C(OCC2=CC=C(F)C=C2)C=C1,10-2,C03,1.238,1.226
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3NCC2=CC=C(O)C=C2)O1,10-2,C04,1.197,1.188
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3NCCC2=CNC3=C2C=CC=C3)O1,10-2,C05,1.178,1.167
O=C1NC2=C(C=CC=C2)/C1=C1/NC2=C(C=CC=C2)/C1=N/OCCC(O)CO,10-2,C06,1.055,1.048
CN1CCN(C2=CC=C(NC(C3=CC=C(C#N)O3)=O)C(N3CCCCC3)=C2)CC1,10-2,C07,1.183,1.177
O=C(C1=CC=NO1)NC1=CC(NC(C2=CC(C(F)(F)F)=CC(N3C=NC(C)=C3)=C2)=O)=CC=C1C,10-2,C08,1.218,1.219
O=C(NC1=CC=C(OC2=CC=NC=C2)C=C1)NC1=CC(C(C)(C)C)=NN1C,10-2,C09,1.31,1.301
CC1=CC=C(N2C(NC(NC3=CC=C(OCCN4CCOCC4)C=C3)=O)=CC(C(C)(C)C)=N2)C=C1,10-2,C10,1.313,1.303
O=C([C@H]1N(C(C([C@@]2(O)[C@H](C)CC[C@@H](C[C@H](OC)/C(C)=C/C=C/C=C/[C@@H](C)C[C@@H](C)C([C@H](OC)[C@H](O)/C(C)=C/[C@@H](C)C(/C=C/[C@H](C)C[C@H]3C[C@@H](OC)[C@H](O)CC3)=O)=O)O2)=O)=O)CCCC1)O[Na],10-2,C11,1.3,1.281
O=C(C1=CC=NC=C1)NCC(C)(N1N=C(C2=CC=C(C)C=C2)C2=C(N)N=CN=C12)C,10-2,D02,1.186,1.174
O=C(NC1=CC2=CC(S(=O)(O[Na])=O)=CC(O)=C2C=C1)NC1=CC2=CC(S(=O)(O[Na])=O)=CC(O)=C2C=C1,10-2,D03,1.219,1.21
OC[C@@H]1[C@@H](O)[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3N[C@@H]2[C@@H](O)CCC2)O1,10-2,D04,1.192,1.183
O=C(C1C(=O)NC(=S)NC1=O)NC1=CC=CC=C1,10-2,D05,1.07,1.153
COC1=CC=C(OC(=O)CN2CCN(CC3=CC(OC)=C(OC)C(OC)=C3)CC2)C=C1,10-2,D06,1.163,1.165
CCC[N+]1=CC(C(=O)N(CCC(=O)NCCOC(=O)N2CCC3=C(C=CC=C3)C2)C2=CC=CC=C2)=CC(Br)=C1,10-2,D07,1.151,1.166
O=C1C2=C(NCCCN2CCP(O)(O)=O)C1=O,10-2,D08,1.176,1.176
O=C(C1(C2=CC=C3[C@H](O)[C@@H](CC4=CC=C(C5=CC=CC=C5)C=C4)COC3=C2)CCCC1)O,10-2,D09,0.046,0.046
O=C(NC(C(C)C)C(C(F)(F)F)=O)[C@H]1N(C([C@H](C(C)C)NC(C2=CC=C(C(NCC(O[Na])=O)=O)C=C2)=O)=O)CCC1,10-2,D10,1.205,1.214
O=C(N[C@H]1CN2CCC1CC2)C1=CNC2=C(SC=C2)C1=O,10-2,D11,1.246,1.237
O=C([C@@H]1[C@@H](C2=CC=CC=C2)[C@@]2(C3=CC=C(OC)C=C3)[C@@](O)([C@@H]1O)C1=C(OC)C=C(OC)C=C1O2)OC,10-2,E02,1.204,1.196
